User-Time,System-Time,Elapsed-Time,CPU-Usage,Compacted-File-Size
0.07,0.00,0:00.07,100%,74259
0.07,0.00,0:00.07,98%,74259
0.07,0.00,0:00.07,98%,74259
0.07,0.00,0:00.07,98%,74259
0.07,0.00,0:00.07,98%,74259
0.07,0.00,0:00.08,98%,74259
0.07,0.00,0:00.07,98%,74259
0.07,0.00,0:00.07,100%,74259
0.07,0.00,0:00.07,98%,74259
0.07,0.00,0:00.07,100%,74259
0.07,0.00,0:00.07,100%,74259
0.07,0.00,0:00.07,100%,74259
0.07,0.00,0:00.07,100%,74259
0.07,0.00,0:00.07,100%,74259
0.07,0.00,0:00.07,100%,74259
0.07,0.00,0:00.07,100%,74259
0.07,0.00,0:00.07,100%,74259
0.07,0.00,0:00.07,100%,74259
0.07,0.00,0:00.07,100%,74259
0.07,0.00,0:00.07,100%,74259
0.07,0.00,0:00.07,100%,74259
0.07,0.00,0:00.07,100%,74259
0.07,0.00,0:00.07,100%,74259
0.07,0.00,0:00.07,100%,74259
0.07,0.00,0:00.07,100%,74259
0.07,0.00,0:00.07,100%,74259
0.07,0.00,0:00.07,98%,74259
0.07,0.00,0:00.07,98%,74259
0.06,0.01,0:00.07,98%,74259
0.07,0.00,0:00.07,98%,74259
0.07,0.00,0:00.07,100%,74259
0.07,0.00,0:00.07,98%,74259
0.07,0.00,0:00.07,100%,74259
0.07,0.00,0:00.07,100%,74259
0.07,0.00,0:00.07,98%,74259
0.07,0.00,0:00.07,100%,74259
0.07,0.00,0:00.07,100%,74259
0.07,0.00,0:00.07,98%,74259
0.07,0.00,0:00.07,98%,74259
0.07,0.00,0:00.07,98%,74259
0.07,0.00,0:00.07,98%,74259
0.07,0.00,0:00.07,98%,74259
